module,module_name,order,original_label,ui_label,target,conditional,sidebar_target_present,sidebar_ui_label_present
HR07,合同管理,4,变更与解除,变更与解除,/hr/contracts/changes/,False,True,True
HR07,合同管理,5,聘期与到期预警,合同到期预警,/hr/contracts/risks/,False,True,True
HR08,外聘人员,1,外聘教师库,外聘人员总览,/hr/external-teachers/,False,True,True
HR08,外聘人员,2,产业教授与技能大师,产业教授与技能大师,/hr/external-teachers/industry/,False,True,True
HR08,外聘人员,3,聘用审批,聘用审批,/hr/external-teachers/hiring/,False,True,True
HR08,外聘人员,4,教学与服务任务,教学与服务任务,/hr/external-teachers/tasks/,False,True,True
HR08,外聘人员,5,续聘与退出,续聘办理,/hr/external-teachers/renewals/,False,True,True
HR09,资格资质,1,教师资格台账,教师资格台账,/hr/qualifications/credentials/,False,True,True
HR09,资格资质,2,双师认定标准,双师认定批次,/hr/double-teacher/,False,True,True
HR09,资格资质,3,双师申报,双师申报,/hr/double-teacher/applications/,False,True,True
HR09,资格资质,4,认定与评审,认定结果,/hr/double-teacher/recognitions/,False,True,True
HR09,资格资质,5,复核与资格台账,资格复核与到期,/hr/qualifications/risks/,False,True,True
HR10,教师发展,1,教师发展计划,教师发展计划,/hr/development/plans,False,True,True
HR10,教师发展,2,培训项目,培训项目,/hr/development/programs,False,True,True
HR10,教师发展,3,报名与审批,报名与审批,/hr/development/requests,False,True,True
HR10,教师发展,4,企业实践项目,企业实践项目,/hr/development/enterprise-practice,False,True,True
HR10,教师发展,5,实践过程与成果,实践过程与成果,/hr/development/enterprise-practice/results,False,True,True
HR10,教师发展,6,教师发展档案,个人发展档案,{{ record_url }},True,True,True
HR11,考勤时间,1,工作制度与考勤规则,工作制度与考勤规则,/hr/time/rules/,False,True,True
HR11,考勤时间,2,工作日历与排班,工作日历与排班,/hr/time/schedule/,False,True,True
HR11,考勤时间,3,打卡与工时,打卡与工时,/hr/time/attendance/,False,True,True
HR11,考勤时间,4,异常、补卡与加班,加班与调休,/hr/time/overtime/,False,True,True
HR11,考勤时间,5,请假休假与销假,请假与销假,/hr/time/leave/,False,True,True
HR11,考勤时间,6,考勤台账与月结,考勤台账与月结,/hr/time/close/,False,True,True
HR12,考核管理,1,考核制度与指标体系,考核制度与指标,/hr/assessments/policies/,False,True,True
HR12,考核管理,2,目标任务与平时考核,目标任务与平时考核,/hr/assessments/goals/,False,True,True
HR12,考核管理,3,年度考核,年度考核,/hr/assessments/annual/,False,True,True
HR12,考核管理,4,聘期考核,聘期考核,/hr/assessments/term/,False,True,True
HR12,考核管理,5,师德与专项考核,师德与专项考核,/hr/assessments/ethics/,False,True,True
HR12,考核管理,6,评议审定与考核档案,评议与审定,/hr/assessments/review/,False,True,True
HR13,职称评审,1,职称制度与评审标准,职称评审总览,/hr/titles/,False,True,True
HR13,职称评审,2,申报批次与资格审查,职称申报,/hr/titles/applications/,False,True,True
HR13,职称评审,3,业绩材料与代表性成果,材料与代表性成果,/hr/titles/materials/,False,True,True
HR13,职称评审,4,专家库与评审组织,专家与评委管理,/hr/titles/experts/,False,True,True
HR13,职称评审,5,评议表决与结果公示,评议与表决,/hr/titles/deliberation/,False,True,True
HR13,职称评审,6,复核监管与职称档案,异议与复核,/hr/titles/appeals/,False,True,True
HR14,岗位聘任,1,聘任制度与岗位等级,聘任制度与岗位等级,/hr/appointments/policies/,False,True,True
HR14,岗位聘任,2,岗位额度与聘任批次,岗位额度,/hr/appointments/quota/,False,True,True
HR14,岗位聘任,3,申报竞聘与资格审查,竞聘申报,/hr/appointments/applications/,False,True,True
HR14,岗位聘任,4,评议评审与择优排序,评议排序,/hr/appointments/ranking/,False,True,True
HR14,岗位聘任,5,拟聘公示与正式聘任,拟聘公示,/hr/appointments/publicity/,False,True,True
HR14,岗位聘任,6,聘期变更与聘任档案,聘期变更,/hr/appointments/term-changes/,False,True,True
HR15,薪酬福利,1,薪酬档案,薪酬档案,/hr/payroll/profiles/,False,True,True
HR15,薪酬福利,2,薪资项目与规则,薪资项目与规则,/hr/payroll/rules/,False,True,True
HR15,薪酬福利,3,月度工资核算,月度工资核算,/hr/payroll/calculations/,False,True,True
HR15,薪酬福利,4,调资与津补贴,津贴与补贴,/hr/payroll/allowances/,False,True,True
HR15,薪酬福利,5,社保与公积金,社保公积金与年金,/hr/payroll/social-security/,False,True,True
HR15,薪酬福利,6,工资条与财务对接,支付与工资条,/hr/payroll/payments/,False,True,True
HR16,退休离校,1,离退制度与离校规则,退休离校总览,/hr/exit/,False,True,True
HR16,退休离校,2,辞职调出与解除离校,离校审批,/hr/exit/cases/,False,True,True
HR16,退休离校,3,退休预审与退休办理,退休预审,/hr/exit/retirement-precheck/,False,True,True
HR16,退休离校,4,离校交接与权限资产清退,工作交接,/hr/exit/handover/,False,True,True
HR16,退休离校,5,结算证明与关系转移,最终结算,/hr/exit/settlement/,False,True,True
HR16,退休离校,6,离退休档案与返聘衔接,正式离校档案,/hr/exit/archive/,False,True,True
HR17,教职工服务,1,我的服务首页,我的人事服务,/hr/self/,False,True,True
HR17,教职工服务,2,我的档案与更正,我的文件,/hr/self/files/,False,True,True
HR17,教职工服务,3,我的任职与成长,办理进度,/hr/self/progress/,False,True,True
HR17,教职工服务,4,我的薪酬权益与文件,我的工资条,/hr/self/payslips/,False,True,True
HR17,教职工服务,5,我的申请与办理,我的待办,/hr/self/todos/,False,True,True
HR17,教职工服务,6,关怀与退休服务,服务大厅,/hr/self/services/,False,True,True
HR18,人事数据中心,1,人事数据总览,人事数据总览,/hr/data/,False,True,True
HR18,人事数据中心,2,指标口径与专题分析,指标口径中心,/hr/data/metrics/,False,True,True
HR18,人事数据中心,3,标准报表与自助分析,标准报表与自助分析,/hr/data/population/,False,True,True
HR18,人事数据中心,4,数据质量与治理,数据质量中心,/hr/data/quality/,False,True,True
HR18,人事数据中心,5,数据交换与共享,数据交换,/hr/data/exchange/,False,True,True
HR18,人事数据中心,6,正式上报与报送档案,正式报送,/hr/data/submissions/,False,True,True
