module,module_name,page_id,title,kind,route,menu_declared,route_source,handler,backend_status,backend_evidence,integration_action
HR02,组织岗位,R014,组织岗位历史,timeline,/hr/structure/history,True,backend/hr_structure/urls.py,views.hr_structure_workspace,PASS,handler present (backend/hr_structure/views.py),preserve V15 backend; UI-A bridge applies globally
HR03,教职工主档,R015,教职工名册,people,/hr/staff/,True,backend/hr_staff/urls.py,views.staff_list,PASS,handler present (backend/hr_staff/views.py),preserve V15 backend; UI-A bridge applies globally
HR03,教职工主档,R016,数据质量,quality,/hr/staff/data-quality/,True,backend/hr_staff/urls.py,views.data_quality,PASS,handler present (backend/hr_staff/views.py),preserve V15 backend; UI-A bridge applies globally
HR03,教职工主档,R017,个人主档,profile,/hr/staff/<uuid:staff_id>/,False,backend/hr_staff/urls.py,views.staff_profile,PASS,handler present (backend/hr_staff/views.py),preserve V15 backend; UI-A bridge applies globally
HR03,教职工主档,R018,任职履历,timeline,/hr/staff/<uuid:staff_id>/assignments,False,backend/hr_staff/urls.py,views.assignment_history,PASS,handler present (backend/hr_staff/views.py),preserve V15 backend; UI-A bridge applies globally
HR03,教职工主档,R019,教育资格,credentials,/hr/staff/<uuid:staff_id>/backgrounds,False,backend/hr_staff/urls.py,views.background_facts,PASS,handler present (backend/hr_staff/views.py),preserve V15 backend; UI-A bridge applies globally
HR03,教职工主档,R020,材料档案,files,/hr/staff/<uuid:staff_id>/materials,False,backend/hr_staff/urls.py,views.materials,PASS,handler present (backend/hr_staff/views.py),preserve V15 backend; UI-A bridge applies globally
HR03,教职工主档,R021,更正与历史,corrections,/hr/staff/<uuid:staff_id>/corrections,False,backend/hr_staff/urls.py,views.corrections,PASS,handler present (backend/hr_staff/views.py),preserve V15 backend; UI-A bridge applies globally
HR04,招聘管理,R026,年度用人计划,planning,/hr/recruitment/plans,True,backend/hr_recruitment/urls.py,views.hr04_plans,PASS,handler present (backend/hr_recruitment/views.py),preserve V15 backend; UI-A bridge applies globally
HR04,招聘管理,R027,招聘项目与岗位,recruitment,/hr/recruitment/campaigns,True,backend/hr_recruitment/urls.py,views.hr04_campaigns,PASS,handler present (backend/hr_recruitment/views.py),preserve V15 backend; UI-A bridge applies globally
HR04,招聘管理,R028,人才库与应聘者,people,/hr/recruitment/candidates,True,backend/hr_recruitment/urls.py,views.hr04_candidates,PASS,handler present (backend/hr_recruitment/views.py),preserve V15 backend; UI-A bridge applies globally
HR04,招聘管理,R029,资格审查,eligibility,/hr/recruitment/qualification,True,backend/hr_recruitment/urls.py,views.hr04_qualification,PASS,handler present (backend/hr_recruitment/views.py),preserve V15 backend; UI-A bridge applies globally
HR04,招聘管理,R030,考试面试与考察,calendar,/hr/recruitment/assessment,True,backend/hr_recruitment/urls.py,views.hr04_assessment,PASS,handler present (backend/hr_recruitment/views.py),preserve V15 backend; UI-A bridge applies globally
HR04,招聘管理,R031,录用与人才引进,review,/hr/recruitment/proposed-hires,True,backend/hr_recruitment/urls.py,views.hr04_proposed_hires,PASS,handler present (backend/hr_recruitment/views.py),preserve V15 backend; UI-A bridge applies globally
HR04,招聘管理,PUBLIC,公开招聘门户,public_portal,/recruit/<str:token>,False,backend/hr_recruitment/public/urls.py,public recruitment views,PASS,public portal route present,keep real V15 public APIs; apply UI-A visual layer only
HR05,入职管理,R033,待报到人员,onboarding,/hr/onboarding/prehires,True,backend/hr_onboarding/urls.py,views.hr05_prehires,PASS,handler present (backend/hr_onboarding/views.py),preserve V15 backend; UI-A bridge applies globally
HR05,入职管理,R034,入职单详情,case,/hr/onboarding/prehires/<uuid:case_id>,False,backend/hr_onboarding/urls.py,views.hr05_case_detail,PASS,handler present (backend/hr_onboarding/views.py),preserve V15 backend; UI-A bridge applies globally
HR05,入职管理,R035,报到登记,reporting,/hr/onboarding/reporting,True,backend/hr_onboarding/urls.py,views.hr05_reporting,PASS,handler present (backend/hr_onboarding/views.py),preserve V15 backend; UI-A bridge applies globally
HR05,入职管理,R036,单人报到办理,checkin,/hr/onboarding/reporting/<uuid:case_id>,False,backend/hr_onboarding/urls.py,views.hr05_report_checkin,PASS,handler present (backend/hr_onboarding/views.py),preserve V15 backend; UI-A bridge applies globally
HR05,入职管理,R037,材料核验,materials,/hr/onboarding/materials,True,backend/hr_onboarding/urls.py,views.hr05_material_workspace,PASS,handler present (backend/hr_onboarding/views.py),preserve V15 backend; UI-A bridge applies globally
HR05,入职管理,R038,协同任务,tasks,/hr/onboarding/collaboration,True,backend/hr_onboarding/urls.py,views.hr05_collaboration_center,PASS,handler present (backend/hr_onboarding/views.py),preserve V15 backend; UI-A bridge applies globally
HR05,入职管理,R039,试用与转正,probations,/hr/onboarding/probations,True,backend/hr_onboarding/urls.py,views.hr05_probation_list,PASS,handler present (backend/hr_onboarding/views.py),preserve V15 backend; UI-A bridge applies globally
HR05,入职管理,R040,试用详情,probation_detail,/hr/onboarding/probations/<uuid:probation_id>,False,backend/hr_onboarding/urls.py,views.hr05_probation_detail,PASS,handler present (backend/hr_onboarding/views.py),preserve V15 backend; UI-A bridge applies globally
HR06,人事异动,R041,异动申请,changes,/hr/changes/,True,backend/hr_changes/urls.py,views.change_center,PASS,handler present (backend/hr_changes/views.py),preserve V15 backend; UI-A bridge applies globally
HR06,人事异动,R043,新建异动,change_form,/hr/changes/new,False,backend/hr_changes/urls.py,views.change_new,PASS,handler present (backend/hr_changes/views.py),preserve V15 backend; UI-A bridge applies globally
HR06,人事异动,R044,待生效异动,timeline,/hr/changes/future,False,backend/hr_changes/urls.py,views.future_changes,PASS,handler present (backend/hr_changes/views.py),preserve V15 backend; UI-A bridge applies globally
HR06,人事异动,R045,异动详情,change_detail,/hr/changes/<uuid:case_id>,False,backend/hr_changes/urls.py,views.change_detail,PASS,handler present (backend/hr_changes/views.py),preserve V15 backend; UI-A bridge applies globally
HR06,人事异动,R046,异动预览,comparison,/hr/changes/<uuid:case_id>/preview,False,backend/hr_changes/urls.py,views.change_preview,PASS,handler present (backend/hr_changes/views.py),preserve V15 backend; UI-A bridge applies globally
HR06,人事异动,R047,校内调动,changes,/hr/changes/transfers,True,backend/hr_changes/urls.py,views.transfers,PASS,handler present (backend/hr_changes/views.py),preserve V15 backend; UI-A bridge applies globally
HR06,人事异动,R048,岗位与身份变更,comparison,/hr/changes/job-identity,True,backend/hr_changes/urls.py,views.job_identity,PASS,handler present (backend/hr_changes/views.py),preserve V15 backend; UI-A bridge applies globally
HR06,人事异动,R049,借调挂职,secondment,/hr/changes/secondments,True,backend/hr_changes/urls.py,views.secondments,PASS,handler present (backend/hr_changes/views.py),preserve V15 backend; UI-A bridge applies globally
HR06,人事异动,R050,异动台账,ledger,/hr/changes/ledger,True,backend/hr_changes/urls.py,views.ledger,PASS,handler present (backend/hr_changes/views.py),preserve V15 backend; UI-A bridge applies globally
HR07,合同管理,R051,合同台账,contracts,/hr/contracts/,True,backend/hr_contracts/urls.py,views.contract_workspace,PASS,handler present (backend/hr_contracts/views.py),preserve V15 backend; UI-A bridge applies globally
HR07,合同管理,R052,合同模板与规则,policies,/hr/contracts/rules/,True,backend/hr_contracts/urls.py,views.contract_workspace,PASS,handler present (backend/hr_contracts/views.py),preserve V15 backend; UI-A bridge applies globally
HR07,合同管理,R053,签订与续签,signing,/hr/contracts/signing/,True,backend/hr_contracts/urls.py,views.contract_workspace,PASS,handler present (backend/hr_contracts/views.py),preserve V15 backend; UI-A bridge applies globally
HR07,合同管理,R054,变更与解除,comparison,/hr/contracts/changes/,True,backend/hr_contracts/urls.py,views.contract_workspace,PASS,handler present (backend/hr_contracts/views.py),preserve V15 backend; UI-A bridge applies globally
HR07,合同管理,R055,合同到期预警,risks,/hr/contracts/risks/,True,backend/hr_contracts/urls.py,views.contract_workspace,PASS,handler present (backend/hr_contracts/views.py),preserve V15 backend; UI-A bridge applies globally
HR08,外聘人员,R056,外聘人员总览,external,/hr/external-teachers/,True,backend/hr_external/urls.py,views.external_teachers_home,PASS,handler present (backend/hr_external/views.py),preserve V15 backend; UI-A bridge applies globally
HR08,外聘人员,R057,外聘教师库,people,/hr/external-teachers/pool/,False,backend/hr_external/urls.py,views.external_teacher_pool,PASS,handler present (backend/hr_external/views.py),preserve V15 backend; UI-A bridge applies globally
HR08,外聘人员,R058,续聘办理,renewal,/hr/external-teachers/renewals/,True,backend/hr_external/urls.py,views.renewals_home,PASS,handler present (backend/hr_external/views.py),preserve V15 backend; UI-A bridge applies globally
HR08,外聘人员,R059,退出办理,exit_case,/hr/external-teachers/exits/,False,backend/hr_external/urls.py,views.exits_home,PASS,handler present (backend/hr_external/views.py),preserve V15 backend; UI-A bridge applies globally
HR08,外聘人员,R060,教学与服务任务,workload,/hr/external-teachers/tasks/,True,backend/hr_external/urls.py,views.tasks_home,PASS,handler present (backend/hr_external/views.py),preserve V15 backend; UI-A bridge applies globally
HR08,外聘人员,R061,聘用审批详情,review_detail,/hr/external-teachers/hiring/<uuid:case_id>/,False,backend/hr_external/urls.py,views.hiring_detail,PASS,handler present (backend/hr_external/views.py),preserve V15 backend; UI-A bridge applies globally
HR08,外聘人员,R062,聘用审批,review,/hr/external-teachers/hiring/,True,backend/hr_external/urls.py,views.hiring_home,PASS,handler present (backend/hr_external/views.py),preserve V15 backend; UI-A bridge applies globally
HR08,外聘人员,R063,产业教授聘任详情,profile,/hr/external-teachers/industry/<uuid:engagement_id>/,False,backend/hr_external/urls.py,views.industry_engagement_detail,PASS,handler present (backend/hr_external/views.py),preserve V15 backend; UI-A bridge applies globally
HR08,外聘人员,R064,产业教授与技能大师,external,/hr/external-teachers/industry/,True,backend/hr_external/urls.py,views.industry_home,PASS,handler present (backend/hr_external/views.py),preserve V15 backend; UI-A bridge applies globally
HR08,外聘人员,R065,外聘教师详情,profile,/hr/external-teachers/<uuid:profile_id>/,False,backend/hr_external/urls.py,views.external_teacher_profile,PASS,handler present (backend/hr_external/views.py),preserve V15 backend; UI-A bridge applies globally
HR09,资格资质,R066,资格资质总览,qualification,/hr/qualifications/,False,backend/hr_qualification/urls.py,views.qualification_workspace,PASS,handler present (backend/hr_qualification/views.py),preserve V15 backend; UI-A bridge applies globally
HR09,资格资质,R067,教师资格台账,credentials,/hr/qualifications/credentials/,True,backend/hr_qualification/urls.py,views.qualification_workspace,PASS,handler present (backend/hr_qualification/views.py),preserve V15 backend; UI-A bridge applies globally
HR09,资格资质,R068,资格复核与到期,risks,/hr/qualifications/risks/,True,backend/hr_qualification/urls.py,views.qualification_workspace,PASS,handler present (backend/hr_qualification/views.py),preserve V15 backend; UI-A bridge applies globally
HR09,资格资质,R069,双师认定批次,batches,/hr/double-teacher/,True,backend/hr_qualification/urls_double_teacher.py,views.qualification_workspace,PASS,handler present (backend/hr_qualification/views.py),preserve V15 backend; UI-A bridge applies globally
HR09,资格资质,R070,双师申报,eligibility,/hr/double-teacher/applications/,True,backend/hr_qualification/urls_double_teacher.py,views.qualification_workspace,PASS,handler present (backend/hr_qualification/views.py),preserve V15 backend; UI-A bridge applies globally
HR09,资格资质,R071,认定结果,results,/hr/double-teacher/recognitions/,True,backend/hr_qualification/urls_double_teacher.py,views.qualification_workspace,PASS,handler present (backend/hr_qualification/views.py),preserve V15 backend; UI-A bridge applies globally
HR10,教师发展,R073,教师发展计划,goals,/hr/development/plans,True,backend/hr10_development/urls.py,views.plan_center,PASS,handler present (backend/hr10_development/views.py),preserve V15 backend; UI-A bridge applies globally
HR10,教师发展,R074,培训项目,learning,/hr/development/programs,True,backend/hr10_development/urls.py,views.program_center,PASS,handler present (backend/hr10_development/views.py),preserve V15 backend; UI-A bridge applies globally
HR10,教师发展,R075,报名与审批,review,/hr/development/requests,True,backend/hr10_development/urls.py,views.request_center,PASS,handler present (backend/hr10_development/views.py),preserve V15 backend; UI-A bridge applies globally
HR10,教师发展,R076,企业实践项目,practice,/hr/development/enterprise-practice,True,backend/hr10_development/urls.py,views.practice_center,PASS,handler present (backend/hr10_development/views.py),preserve V15 backend; UI-A bridge applies globally
HR10,教师发展,R077,实践过程与成果,files,/hr/development/enterprise-practice/results,True,backend/hr10_development/urls.py,views.practice_results,PASS,handler present (backend/hr10_development/views.py),preserve V15 backend; UI-A bridge applies globally
HR10,教师发展,R078,个人发展档案,portfolio,/hr/development/records/<int:staff_id>,False,backend/hr10_development/urls.py,views.development_record,PASS,handler present (backend/hr10_development/views.py),preserve V15 backend; UI-A bridge applies globally
HR10,教师发展,R079,教师发展总览,development,/hr/development/dashboard,False,backend/hr10_development/urls.py,views.development_dashboard,PASS,handler present (backend/hr10_development/views.py),preserve V15 backend; UI-A bridge applies globally
HR11,考勤时间,R080,工作制度与考勤规则,policies,/hr/time/,False,backend/hr_time/urls.py,views.workspace,PASS,handler present (backend/hr_time/views.py),preserve V15 backend; UI-A bridge applies globally
HR11,考勤时间,R082,打卡与工时,attendance,/hr/time/attendance/,True,backend/hr_time/urls.py,views.workspace,PASS,handler present (backend/hr_time/views.py),preserve V15 backend; UI-A bridge applies globally
HR11,考勤时间,R083,工作日历与排班,calendar,/hr/time/schedule/,True,backend/hr_time/urls.py,views.workspace,PASS,handler present (backend/hr_time/views.py),preserve V15 backend; UI-A bridge applies globally
HR11,考勤时间,R084,请假与销假,leave,/hr/time/leave/,True,backend/hr_time/urls.py,views.workspace,PASS,handler present (backend/hr_time/views.py),preserve V15 backend; UI-A bridge applies globally
HR11,考勤时间,R085,加班与调休,overtime,/hr/time/overtime/,True,backend/hr_time/urls.py,views.workspace,PASS,handler present (backend/hr_time/views.py),preserve V15 backend; UI-A bridge applies globally
HR11,考勤时间,R086,考勤台账与月结,closing,/hr/time/close/,True,backend/hr_time/urls.py,views.workspace,PASS,handler present (backend/hr_time/views.py),preserve V15 backend; UI-A bridge applies globally
HR11,考勤时间,R087,考勤风险,risks,/hr/time/risks/,False,backend/hr_time/urls.py,views.workspace,PASS,handler present (backend/hr_time/views.py),preserve V15 backend; UI-A bridge applies globally
HR12,考核管理,R088,考核管理总览,assessment,/hr/assessments/,False,backend/hr_assessment/urls.py,views.workspace,PASS,handler present (backend/hr_assessment/views.py),preserve V15 backend; UI-A bridge applies globally
HR12,考核管理,R089,考核制度与指标,rubric,/hr/assessments/policies/,True,backend/hr_assessment/urls.py,views.workspace,PASS,handler present (backend/hr_assessment/views.py),preserve V15 backend; UI-A bridge applies globally
HR12,考核管理,R090,目标任务与平时考核,goals,/hr/assessments/goals/,True,backend/hr_assessment/urls.py,views.workspace,PASS,handler present (backend/hr_assessment/views.py),preserve V15 backend; UI-A bridge applies globally
HR12,考核管理,R091,年度考核,score,/hr/assessments/annual/,True,backend/hr_assessment/urls.py,views.workspace,PASS,handler present (backend/hr_assessment/views.py),preserve V15 backend; UI-A bridge applies globally
HR12,考核管理,R092,聘期考核,score,/hr/assessments/term/,True,backend/hr_assessment/urls.py,views.workspace,PASS,handler present (backend/hr_assessment/views.py),preserve V15 backend; UI-A bridge applies globally
HR12,考核管理,R093,师德与专项考核,ethics,/hr/assessments/ethics/,True,backend/hr_assessment/urls.py,views.workspace,PASS,handler present (backend/hr_assessment/views.py),preserve V15 backend; UI-A bridge applies globally
HR12,考核管理,R094,评议与审定,review,/hr/assessments/review/,True,backend/hr_assessment/urls.py,views.workspace,PASS,handler present (backend/hr_assessment/views.py),preserve V15 backend; UI-A bridge applies globally
HR12,考核管理,R095,结果与考核档案,results,/hr/assessments/archive/,False,backend/hr_assessment/urls.py,views.workspace,PASS,handler present (backend/hr_assessment/views.py),preserve V15 backend; UI-A bridge applies globally
HR13,职称评审,R096,职称评审总览,title_overview,/hr/titles/,True,backend/hr_title/urls.py,views.workspace,PASS,handler present (backend/hr_title/views.py),preserve V15 backend; UI-A bridge applies globally
HR13,职称评审,R097,职称申报,applications,/hr/titles/applications/,True,backend/hr_title/urls.py,views.workspace,PASS,handler present (backend/hr_title/views.py),preserve V15 backend; UI-A bridge applies globally
HR13,职称评审,R098,资格审查,eligibility,/hr/titles/eligibility/,False,backend/hr_title/urls.py,views.workspace,PASS,handler present (backend/hr_title/views.py),preserve V15 backend; UI-A bridge applies globally
HR13,职称评审,R099,材料与代表性成果,materials,/hr/titles/materials/,True,backend/hr_title/urls.py,views.workspace,PASS,handler present (backend/hr_title/views.py),preserve V15 backend; UI-A bridge applies globally
HR13,职称评审,R100,专家与评委管理,experts,/hr/titles/experts/,True,backend/hr_title/urls.py,views.workspace,PASS,handler present (backend/hr_title/views.py),preserve V15 backend; UI-A bridge applies globally
HR13,职称评审,R101,评议与表决,ballot,/hr/titles/deliberation/,True,backend/hr_title/urls.py,views.workspace,PASS,handler present (backend/hr_title/views.py),preserve V15 backend; UI-A bridge applies globally
HR13,职称评审,R102,结果公示,publicity,/hr/titles/publicity/,False,backend/hr_title/urls.py,views.workspace,PASS,handler present (backend/hr_title/views.py),preserve V15 backend; UI-A bridge applies globally
HR13,职称评审,R103,异议与复核,appeals,/hr/titles/appeals/,True,backend/hr_title/urls.py,views.workspace,PASS,handler present (backend/hr_title/views.py),preserve V15 backend; UI-A bridge applies globally
HR13,职称评审,R104,正式职称结果,results,/hr/titles/results/,False,backend/hr_title/urls.py,views.workspace,PASS,handler present (backend/hr_title/views.py),preserve V15 backend; UI-A bridge applies globally
HR14,岗位聘任,R106,岗位聘任总览,appointment,/hr/appointments/,False,backend/hr_appointment/urls.py,views.workspace,PASS,handler present (backend/hr_appointment/views.py),preserve V15 backend; UI-A bridge applies globally
HR14,岗位聘任,R107,聘任制度与岗位等级,policies,/hr/appointments/policies/,True,backend/hr_appointment/urls.py,views.workspace,PASS,handler present (backend/hr_appointment/views.py),preserve V15 backend; UI-A bridge applies globally
HR14,岗位聘任,R108,岗位额度,quota,/hr/appointments/quota/,True,backend/hr_appointment/urls.py,views.workspace,PASS,handler present (backend/hr_appointment/views.py),preserve V15 backend; UI-A bridge applies globally
HR14,岗位聘任,R109,竞聘批次,batches,/hr/appointments/competitions/,False,backend/hr_appointment/urls.py,views.workspace,PASS,handler present (backend/hr_appointment/views.py),preserve V15 backend; UI-A bridge applies globally
HR14,岗位聘任,R110,竞聘申报,applications,/hr/appointments/applications/,True,backend/hr_appointment/urls.py,views.workspace,PASS,handler present (backend/hr_appointment/views.py),preserve V15 backend; UI-A bridge applies globally
HR14,岗位聘任,R111,评议排序,ranking,/hr/appointments/ranking/,True,backend/hr_appointment/urls.py,views.workspace,PASS,handler present (backend/hr_appointment/views.py),preserve V15 backend; UI-A bridge applies globally
HR14,岗位聘任,R112,拟聘公示,publicity,/hr/appointments/publicity/,True,backend/hr_appointment/urls.py,views.workspace,PASS,handler present (backend/hr_appointment/views.py),preserve V15 backend; UI-A bridge applies globally
HR14,岗位聘任,R113,正式岗位聘任,results,/hr/appointments/appointments/,False,backend/hr_appointment/urls.py,views.workspace,PASS,handler present (backend/hr_appointment/views.py),preserve V15 backend; UI-A bridge applies globally
HR14,岗位聘任,R114,聘期变更,comparison,/hr/appointments/term-changes/,True,backend/hr_appointment/urls.py,views.workspace,PASS,handler present (backend/hr_appointment/views.py),preserve V15 backend; UI-A bridge applies globally
HR15,薪酬福利,R118,薪酬总览,payroll,/hr/payroll/,False,backend/hr_payroll/urls.py,views.workspace,PASS,handler present (backend/hr_payroll/views.py),preserve V15 backend; UI-A bridge applies globally
HR15,薪酬福利,R119,薪酬档案,pay_profiles,/hr/payroll/profiles/,True,backend/hr_payroll/urls.py,views.workspace,PASS,handler present (backend/hr_payroll/views.py),preserve V15 backend; UI-A bridge applies globally
HR15,薪酬福利,R120,工资期间,periods,/hr/payroll/periods/,False,backend/hr_payroll/urls.py,views.workspace,PASS,handler present (backend/hr_payroll/views.py),preserve V15 backend; UI-A bridge applies globally
HR15,薪酬福利,R121,月度工资核算,calculation,/hr/payroll/calculations/,True,backend/hr_payroll/urls.py,views.workspace,PASS,handler present (backend/hr_payroll/views.py),preserve V15 backend; UI-A bridge applies globally
HR15,薪酬福利,R122,薪资项目与规则,pay_rules,/hr/payroll/rules/,True,backend/hr_payroll/urls.py,views.workspace,PASS,handler present (backend/hr_payroll/views.py),preserve V15 backend; UI-A bridge applies globally
HR15,薪酬福利,R123,津贴与补贴,allowances,/hr/payroll/allowances/,True,backend/hr_payroll/urls.py,views.workspace,PASS,handler present (backend/hr_payroll/views.py),preserve V15 backend; UI-A bridge applies globally
HR15,薪酬福利,R124,社保与公积金,benefits,/hr/payroll/social-security/,True,backend/hr_payroll/urls.py,views.workspace,PASS,handler present (backend/hr_payroll/views.py),preserve V15 backend; UI-A bridge applies globally
HR15,薪酬福利,R125,正式薪酬结果,payslip,/hr/payroll/results/,False,backend/hr_payroll/urls.py,views.workspace,PASS,handler present (backend/hr_payroll/views.py),preserve V15 backend; UI-A bridge applies globally
HR15,薪酬福利,R126,支付与工资条,payments,/hr/payroll/payments/,True,backend/hr_payroll/urls.py,views.workspace,PASS,handler present (backend/hr_payroll/views.py),preserve V15 backend; UI-A bridge applies globally
HR15,薪酬福利,R127,财务对账,reconciliation,/hr/payroll/reconciliation/,False,backend/hr_payroll/urls.py,views.workspace,PASS,handler present (backend/hr_payroll/views.py),preserve V15 backend; UI-A bridge applies globally
HR15,薪酬福利,R128,历史工资对账,reconciliation,/hr/payroll/legacy-takeover/,False,backend/hr_payroll/urls.py,views.workspace,PASS,handler present (backend/hr_payroll/views.py),preserve V15 backend; UI-A bridge applies globally
HR16,退休离校,R130,退休离校总览,exit_overview,/hr/exit/,True,backend/hr_exit/urls.py,views.workspace,PASS,handler present (backend/hr_exit/views.py),preserve V15 backend; UI-A bridge applies globally
HR16,退休离校,R131,离校审批,exit_case,/hr/exit/cases/,True,backend/hr_exit/urls.py,views.workspace,PASS,handler present (backend/hr_exit/views.py),preserve V15 backend; UI-A bridge applies globally
HR16,退休离校,R132,工作交接,handover,/hr/exit/handover/,True,backend/hr_exit/urls.py,views.workspace,PASS,handler present (backend/hr_exit/views.py),preserve V15 backend; UI-A bridge applies globally
HR16,退休离校,R133,最终结算,settlement,/hr/exit/settlement/,True,backend/hr_exit/urls.py,views.workspace,PASS,handler present (backend/hr_exit/views.py),preserve V15 backend; UI-A bridge applies globally
HR16,退休离校,R134,退休预审,retirement,/hr/exit/retirement-precheck/,True,backend/hr_exit/urls.py,views.workspace,PASS,handler present (backend/hr_exit/views.py),preserve V15 backend; UI-A bridge applies globally
HR16,退休离校,R135,正式退休记录,results,/hr/exit/retirement-facts/,False,backend/hr_exit/urls.py,views.workspace,PASS,handler present (backend/hr_exit/views.py),preserve V15 backend; UI-A bridge applies globally
HR16,退休离校,R136,跨域生效协同,effects,/hr/exit/effects/,False,backend/hr_exit/urls.py,views.workspace,PASS,handler present (backend/hr_exit/views.py),preserve V15 backend; UI-A bridge applies globally
HR16,退休离校,R137,正式离校档案,files,/hr/exit/archive/,True,backend/hr_exit/urls.py,views.workspace,PASS,handler present (backend/hr_exit/views.py),preserve V15 backend; UI-A bridge applies globally
HR17,教职工服务,R139,我的人事服务,self,/hr/self/,True,backend/hr_self/urls.py,views.workspace,PASS,handler present (backend/hr_self/views.py),preserve V15 backend; UI-A bridge applies globally
HR17,教职工服务,R140,服务大厅,services,/hr/self/services/,True,backend/hr_self/urls.py,views.workspace,PASS,handler present (backend/hr_self/views.py),preserve V15 backend; UI-A bridge applies globally
HR17,教职工服务,R141,我的待办,inbox,/hr/self/todos/,True,backend/hr_self/urls.py,views.workspace,PASS,handler present (backend/hr_self/views.py),preserve V15 backend; UI-A bridge applies globally
HR17,教职工服务,R142,办理进度,progress,/hr/self/progress/,True,backend/hr_self/urls.py,views.workspace,PASS,handler present (backend/hr_self/views.py),preserve V15 backend; UI-A bridge applies globally
HR17,教职工服务,R143,我的文件,files,/hr/self/files/,True,backend/hr_self/urls.py,views.workspace,PASS,handler present (backend/hr_self/views.py),preserve V15 backend; UI-A bridge applies globally
HR17,教职工服务,R144,我的工资条,payslip,/hr/self/payslips/,True,backend/hr_self/urls.py,views.workspace,PASS,handler present (backend/hr_self/views.py),preserve V15 backend; UI-A bridge applies globally
HR17,教职工服务,R145,我的合同,contracts,/hr/self/contracts/,False,backend/hr_self/urls.py,views.workspace,PASS,handler present (backend/hr_self/views.py),preserve V15 backend; UI-A bridge applies globally
HR18,人事数据中心,R147,人事数据总览,data_dashboard,/hr/data/,True,backend/hr_data/urls.py,views.workspace,PASS,handler present (backend/hr_data/views.py),preserve V15 backend; UI-A bridge applies globally
HR18,人事数据中心,R148,指标口径中心,metrics,/hr/data/metrics/,True,backend/hr_data/urls.py,views.workspace,PASS,handler present (backend/hr_data/views.py),preserve V15 backend; UI-A bridge applies globally
HR18,人事数据中心,R149,标准报表与自助分析,report,/hr/data/population/,True,backend/hr_data/urls.py,views.workspace,PASS,handler present (backend/hr_data/views.py),preserve V15 backend; UI-A bridge applies globally
HR18,人事数据中心,R150,历史时点分析,snapshot,/hr/data/as-of/,False,backend/hr_data/urls.py,views.workspace,PASS,handler present (backend/hr_data/views.py),preserve V15 backend; UI-A bridge applies globally
HR18,人事数据中心,R151,数据质量中心,quality,/hr/data/quality/,True,backend/hr_data/urls.py,views.workspace,PASS,handler present (backend/hr_data/views.py),preserve V15 backend; UI-A bridge applies globally
HR18,人事数据中心,R152,数据交换,exchange,/hr/data/exchange/,True,backend/hr_data/urls.py,views.workspace,PASS,handler present (backend/hr_data/views.py),preserve V15 backend; UI-A bridge applies globally
