status	path	old_sha256	new_sha256
MODIFIED	backend/hr_data/services/operational_snapshot_service.py	c2ebd96f6344103ba371438e2e73fa608ed0921758c5b2cbdc1bf0a4b3c28986	6c7c3d8210fac07f125b2dc20704b76b79b07a951c23f5de27789faf5bab4169
MODIFIED	backend/hr_data/services/quality_runtime_service.py	423357ac4f391f988538afbfa160050fefdb8f5ee4b5367756961d3cc744cd17	1054d42e50bba1523a5c1ebffea63cdd92a794efd2e1f7a3b992e55954a29164
MODIFIED	backend/hr_payroll/api.py	38f63f7dc2f97ff544f888d8feeb5d52340bf046825d5613f332d3564244bc16	c77fb6e20bfccc5b06c20c9eb9e7351f87972e8375d7a05f6226c0857fab8fba
MODIFIED	backend/hr_payroll/api_urls.py	e701c90be65db5cb535ba697add49fe892e152ff0a08bc7c33b26ea6c5e8c0be	27098d6da21ef10dcf3d26d3495f87a3797c987c8722063efa3a9cb37ed83bda
MODIFIED	backend/hr_payroll/models.py	9d3bf93e239442510410711b99981e5bbd1565eb2e28b35dc1ee9fc1c12ac997	9813df5004c8c1bf3655897dafda00ec84aba27f5f60e9f0c34582d9a781d1ed
MODIFIED	backend/hr_payroll/services/adjustment_service.py	e74497793b4e26a143d0b4dff197b694a39336e502b1eca1f3c4325559685a97	d457c684a95f16c668d82cc833c073a9dea5b7f0ba479a77333d8d847fb11369
MODIFIED	backend/hr_payroll/services/finalization_service.py	3fd5f623585cb21a5d54726b042b2a9efff7a9e543917aae3200512ed27226bf	82ec87d60d83483bd0d7b473c9f2f988379cb7475826ed4569c39563fa59ab14
MODIFIED	backend/hr_payroll/tests/test_adjustment_api.py	19b00e80c6452711a1dae5fb2b35356f0c574846ce649b43eff86ad25cc0dff7	b2353985bf6f66d953c264dfcd43a4d95476fbde81eacdf158b6c8cc6433d502
MODIFIED	backend/hr_payroll/tests/test_adjustment_service.py	765a2018cafa099d7687a839c749b5fe5f6bce00123b0064a9279510cf29fee3	1f7f4412a574aa4d141165dbf9f8227fe21ac6c18cc4a57e0297441eb4af39e8
MODIFIED	backend/hr_payroll/tests/test_exit_provider_replay.py	b36ce3e22b4833ae871fe5cb3e705c54aedaafdba6a5420f10ed1c6c60b1f901	155c776b4c3cb9ad239b387a5ec886e2f5b404606e453c2ace30dae63f28e9ee
MODIFIED	backend/hr_payroll/tests/test_finalization_service.py	1853eb85c4393c531170bb9194d3483e081fba6d2e70d502793b877c544bbd7e	817101cfb9943040a41d0a4f4bdb76b3aa45718d7edc731194e26c561bd2ac9e
MODIFIED	backend/hr_payroll/tests/test_models.py	a8092455d8b5d4f81388db1da476c38609a24702662b3aa816ae8bee17132e80	a5b05b07ade26c9140f6913bf653d794b75903e846ae0d6c2bf4d6aa065c0fcb
MODIFIED	docs/reports/acceptance_evidence/acceptance-latest.json	691ef0edbabd89b6b496eb5c2c25680b71df7cc97b669f890ed599050a4f11f8	065d023db5c4b4d177ef274e836fc5aa1dc0f31518a54f662eea61c958ef6eef
